,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
0,2017-08-17 04:00:00.000,4261.48,4315.32,70.4159,273,1,4315.32,4315.32,4315.32,4315.32,
1,2017-08-17 06:00:00.000,4330.29,4349.99,11.6729,61,0,4323.0244,4320.2729,4318.4718,4316.5582,
2,2017-08-17 08:00:00.000,4333.32,4444.0,11.7364,71,0,4349.9079,4337.9482,4329.8835,4321.1097,
3,2017-08-17 10:00:00.000,4441.1,4427.3,51.8835,177,0,4367.1061,4350.7127,4338.7395,4324.9022,
4,2017-08-17 12:00:00.000,4436.06,4459.0,54.3448,226,2,4387.527,4366.1823,4349.6723,4329.6914,
5,2017-08-17 14:00:00.000,4459.0,4352.34,120.2172,632,0,4379.7077,4364.2048,4349.9148,4330.5003,
6,2017-08-17 16:00:00.000,4352.33,4289.24,127.1237,590,0,4359.6037,4353.4956,4344.3989,4329.0267,
7,2017-08-17 18:00:00.000,4289.24,4325.23,97.986,396,0,4351.9651,4349.4576,4342.6563,4328.8911,
8,2017-08-17 20:00:00.000,4307.56,4333.55,110.7485,495,0,4347.8729,4347.1851,4341.8284,4329.0575,
9,2017-08-17 22:00:00.000,4333.55,4285.08,139.0214,506,0,4333.9189,4338.313,4336.6695,4327.4869,
10,2017-08-18 00:00:00.000,4285.08,4243.59,158.1204,511,0,4313.8458,4324.7811,4328.2077,4324.4906,
11,2017-08-18 02:00:00.000,4251.95,4292.39,118.0727,525,0,4309.0779,4320.1538,4324.9516,4323.3441,
12,2017-08-18 04:00:00.000,4292.39,4313.56,114.9668,634,0,4310.0739,4319.2118,4323.916,4322.9947,
13,2017-08-18 06:00:00.000,4313.56,4300.25,133.4222,501,0,4307.8908,4316.503,4321.7645,4322.1824,
14,2017-08-18 08:00:00.000,4285.0,4304.15,120.483,475,0,4307.0595,4314.7383,4320.1632,4321.5384,
15,2017-08-18 10:00:00.000,4304.15,4340.31,75.6571,405,0,4314.4485,4318.3914,4321.9947,4322.2088,
16,2017-08-18 12:00:00.000,4320.52,4293.09,61.6527,273,0,4309.7022,4314.7769,4319.367,4321.1688,
17,2017-08-18 14:00:00.000,4293.09,4236.89,114.3167,424,0,4293.5217,4303.6502,4311.8691,4318.1589,
18,2017-08-18 16:00:00.000,4234.54,4193.35,107.7303,361,0,4271.2613,4287.893,4301.0946,4313.7014,
19,2017-08-18 18:00:00.000,4171.17,4136.28,85.9167,392,0,4241.2655,4266.234,4286.1115,4307.3649,
20,2017-08-18 20:00:00.000,4135.0,3975.69,34.7067,309,0,4182.2487,4224.7277,4257.8914,4295.5194,
21,2017-08-18 22:00:00.000,3996.92,4108.37,74.843,423,0,4165.8312,4208.1052,4244.2985,4288.8355,
22,2017-08-19 00:00:00.000,4108.37,4148.53,70.1441,342,0,4161.9865,4199.5945,4235.5923,4283.8246,
23,2017-08-19 02:00:00.000,4148.53,4138.55,38.3664,243,0,4156.7784,4190.8738,4226.7703,4278.6362,
24,2017-08-19 04:00:00.000,4138.5,4077.0,29.8674,164,0,4139.0499,4174.6061,4213.1548,4271.4349,
25,2017-08-19 06:00:00.000,4077.0,4033.47,82.8847,329,0,4115.5877,4154.4438,4196.8198,4262.9362,
26,2017-08-19 08:00:00.000,4033.47,4068.2,23.1906,160,0,4105.0571,4142.1233,4185.1271,4255.9813,
27,2017-08-19 10:00:00.000,4054.0,3957.6,54.0654,321,1,4072.2888,4115.7628,4164.4428,4245.3248,0.2468
